,Unnamed: 0,Unnamed: 0.1,PatternID,Text,Cause,Effect,cause_question,effect_question
1835,1835,2357,68,"For example, when Michelle started to fall off her scooter, her nervous system sensed that she was losing her balance. It responded by sending messages from her brain to muscles in her body. Some muscles tightened while others relaxed.",sending messages from her brain to muscles in her body,It responded,"how did michelle ' s nervous system respond to the feeling of losing her balance ?
","what happened when michelle ' s nervous system sensed that she was losing her balance ?
"
1836,1836,2358,68,"A fungus may spread in this way. For example, you can pick up the fungus that causes athletes foot by wearing shoes that an infected person has worn. You can also pick up this fungus from the floor of a public shower or other damp areas.",wearing shoes that an infected person has worn,"For example, you can pick up the fungus that causes athletes foot","why can you pick up the fungus that causes athletes foot ?
","what happens when you wear shoes that an infected person has worn ?
"
1837,1837,2359,68,"First, we will consider the effects of birth and death rates. You can predict the growth rate by using this simple equation: growth rate = birth rate death rate. If the birth rate is larger than the death rate, then the population grows.",using this simple equation: growth rate = birth rate death rate,You can predict the growth rate,"how can you predict the growth rate ?
","what happens if the growth rate = birth rate death rate is used ?
"
1838,1838,2360,68," Fresh water is also preserved by purifying wastewater. Wastewater is water that has been used for cleaning, washing, flushing, or manufacturing.",purifying wastewater,Fresh water is also preserved,"how is fresh water preserved ?
","what happens by purifying wastewater ?
"
1839,1839,2361,68,"Heart disease, stroke and diabetes are mostly linked to lifestyle choices, even when family history puts a person at higher risk for the diseases. Most allergies can be prevented by avoiding the substances that cause them. For example, you can avoid pollens by staying indoors as much as possible.",avoiding the substances that cause them,Most allergies can be prevented,"how can most allergies be prevented ?
","what happens if you avoid the substances that cause them ?
"
1840,1840,2362,68,"Most allergies can be prevented by avoiding the substances that cause them. For example, you can avoid pollens by staying indoors as much as possible. You can learn to recognize plants like poison ivy and not touch them.",staying indoors as much as possible,"For example, you can avoid pollens","how can you avoid pollens ?
","what happens if you stay indoors as much as possible ?
"
1841,1841,2363,68,"Making these healthy lifestyle choices can also help prevent some types of cancer. In addition, you can lower the risk of cancer by avoiding carcinogens, which are substances that cause cancer. For example, you can reduce your risk of lung cancer by not smoking.","avoiding carcinogens, which are substances that cause cancer","In addition, you can lower the risk of cancer","why can you lower the risk of cancer ?
","why do you avoid carcinogens ?
"
1842,1842,2364,68,"For example, you can reduce your risk of lung cancer by not smoking. You can reduce your risk of skin cancer by using sunscreen. How to choose a sunscreen that offers the most protection is explained below (Figure 1.1).",using sunscreen,You can reduce your risk of skin cancer,"how can you reduce your risk of skin cancer ?
","what happens if you don ' t smoke ?
"
1843,1843,2365,68,"It doesnt matter whether the radiation comes from tanning lamps or the sun. Overall, people in many developed countries are contributing to higher rates of noninfectious diseases (heart disease, stroke, diabetes and cancer) by taking advantage of technology and social environments that encourage a less active lifestyle, and also encourages faster and cheaper meals. For example, many children now spend more time on their computer or watching TV then playing outdoors.","taking advantage of technology and social environments that encourage a less active lifestyle, and also encourages faster and cheaper meals","Overall, people in many developed countries are contributing to higher rates of noninfectious diseases (heart disease, stroke, diabetes and cancer)","why are people in many developed countries contributing to higher rates of noninfectious diseases ?
","what is the effect of taking advantage of technology and social environments ?
"
1844,1844,2366,68,"The ""faster and cheaper"" meals are usually less healthy than other meals. Even though many people are living longer, they can choose to live more healthily by adopting regular exercise routines and healthy eating habits. When you choose a sunscreen, select one with an SPF (sun protection factor) of 30 or higher.",adopting regular exercise routines and healthy eating habits,"Even though many people are living longer, they can choose to live more healthily","why can many people live more healthily ?
","why are "" faster and cheaper "" meals more healthy than other meals ?
"
1845,1845,2367,68,"These protons then flow down their concentration gradient, moving back into the matrix by facilitated diffusion. During this process, ATP is made by adding inorganic phosphate to ADP. Most of the ATP produced during cellular respiration is made during this stage.",adding inorganic phosphate to ADP,"During this process, ATP is made","what happens to atp during cellular respiration ?
","what happens when inorganic phosphate is added to adp ?
"
1846,1846,2368,68,"What can you do to keep your reproductive system healthy? You can start by making the right choices for overall good health. To be as healthy as you can be, you should: Eat a balanced diet that is high in fiber and low in fat.",making the right choices for overall good health,You can start,"what can you do to keep your reproductive system healthy ?
","what can you do by making the right choices for overall good health ?
"
1847,1847,2369,68,"Tuberculosis, whooping cough, and acute bronchitis are caused by bacteria. The pathogens that cause colds, flu, and TB can be passed from person to person by coughing, sneezing, and spitting. Illnesses caused by bacteria can be treated with antibiotics.","coughing, sneezing, and spitting","The pathogens that cause colds, flu, and TB can be passed from person to person","how can the pathogens that cause colds , flu , and tb be passed from person to person ?
","why are tuberculosis , whooping cough , and acute bronchitis caused by bacteria ?
"
1848,1848,2370,68,"Children and adolescents who have asthma can still lead active lives if they control their asthma. Asthma can be controlled by taking medication and by avoiding contact with environmental triggers for asthma, like smoking. ",taking medication,Asthma can be controlled,"what can be used to control asthma ?
","what happens if you take medication and avoid contact with environmental triggers for asthma ?
"
1849,1849,2371,68,You may have noticed many earthworms in soil. Earthworms support terrestrial ecosystems both as prey and by aerating and enriching soil. ,aerating and enriching soil,Earthworms support terrestrial ecosystems both as prey and,"why do earthworms support terrestrial ecosystems both as prey and by what ?
","why do earthworms live in soil ?
"
1850,1850,2372,68,"Controls body temperature. It does this by making sweat (or perspiration), a watery substance that cools the body when it evaporates. Gathers information about your environment.","making sweat (or perspiration), a watery substance that cools the body when it evaporates",It does this,"what does the body do to control body temperature ?
","what happens to body temperature by making sweat ?
"
1851,1851,2373,68,You also naturally shed many skin cells every day. Your body replaces damaged or missing skin cells by growing more of them. Did you know that the layer of skin you can see is actually dead?,growing more of them,Your body replaces damaged or missing skin cells,"how does your body replace damaged or missing skin cells ?
","what happens when you grow more skin cells ?
"
1852,1852,2374,68,"In some cases, messages about pain or temperature dont travel all the way to and from the brain. Instead, they travel only as far as the spinal cord, and the spinal cord responds to the messages by giving orders to the muscles. This allows you to respond to pain more quickly.",giving orders to the muscles,"the spinal cord, and the spinal cord responds to the messages","how does the spinal cord respond to the messages ?
","what happens when messages about pain or temperature travel only as far as the spinal cord ?
"
1853,1853,2375,68,"Remember that information in a gene is converted into mRNA, which carries the information to the ribosome. In the nucleus, mRNA is created by using the DNA in a gene as a template. A template is a model provided for others to copy.",using the DNA in a gene as a template,"In the nucleus, mRNA is created","how is mrna created in the nucleus ?
","what happens when the dna in a gene as a template is used ?
"
1854,1854,2376,68,"Some echinoderms find other ways of moving. For example, crinoids attach themselves to floating logs, and some sea cucumbers move by attaching to the sides of fish. On the underside side of a sea star, there are hundreds of tiny feet usually arranged into several rows on each ray of the star.",attaching to the sides of fish,some sea cucumbers move,"why do sea cucumbers move ?
","what happens by attaching to the sides of fish ?
"
1855,1855,2377,68,Sodium is added to most packaged foods. People often add more sodium to their food by using table salt. Too much sodium causes high blood pressure in some people.,using table salt,People often add more sodium to their food,"why do people often add more sodium to their food ?
","what happens when table salt is used ?
"
1856,1856,2378,68,"You can see an example in Figure 10.8. Red cabbage juice can detect bases as well as acids, as youll see by reviewing this video: MEDIA Click image to the left or use the URL below.",reviewing this video,"Red cabbage juice can detect bases as well as acids, as youll see","how can you see that red cabbage juice can detect bases and acids ?
","why is the example in figure 10 . 8 interesting ?
"
1857,1857,2380,68,"If the line slopes downward, like the line between C and D, velocity is decreasing, so acceleration is negative. You can review the concept of acceleration as well as other chapter concepts by watching the musical video at this URL: ",watching the musical video at this URL,You can review the concept of acceleration as well as other chapter concepts,"how can you review the concept of acceleration and other chapter concepts ?
","what happens if the musical video is watched at this url ?
"
1858,1858,2381,68,"Rolling friction is much weaker than sliding friction or static friction. This explains why it is much easier to move boxes on a wheeled dolly than by carrying or sliding them. It also explains why most forms of ground transportation use wheels, including cars, 4-wheelers, bicycles, roller skates, and skateboards.",carrying or sliding them,This explains why it is much easier to move boxes on a wheeled dolly than,"why is it much easier to move boxes on a wheeled dolly ?
","why is rolling friction much weaker than static friction ?
"
1859,1859,2382,68," Momentum can be calculated by multiplying an objects mass in kilograms (kg) by its velocity in meters per second (m/s). For example, assume that a golf ball has a mass of 0.05 kg.",multiplying an objects mass in kilograms (kg) by its velocity in meters per second (m/s),Momentum can be calculated,"how can momentum be calculated ?
","what happens by multiplying an objects mass in kilograms by its velocity in meters per second ?
"
1860,1860,2383,68," A machine is any device that makes work easier by changing a force. When you use a machine, you apply force to the machine.",changing a force,A machine is any device that makes work easier,"why does a machine make work easier ?
","what happens when you change a force ?
"
1861,1861,2384,68,"The output distance may or may not be the same as the input distance. Machines make work easier by increasing the amount of force that is applied, increasing the distance over which the force is applied, or changing the direction in which the force is applied. Contrary to popular belief, machines do not increase the amount of work that is done.","increasing the amount of force that is applied, increasing the distance over which the force is applied, or changing the direction in which the force is applied",Machines make work easier,"why do machines make work easier ?
","what happens by increasing the amount of force that is applied or changing the direction in which the force is applied ?
"
1862,1862,2385,68,"His gravitational potential energy changes to kinetic energy as he falls toward the water. However, he can regain his potential energy by getting out of the water and climbing back up to the diving board. This requires an input of kinetic energy.",getting out of the water and climbing back up to the diving board,"However, he can regain his potential energy","how can he regain his potential energy ?
","what happens when he gets out of the water and climbing back up to the diving board ?
"
1863,1863,2386,68,Thats because velocity is squared in the equation. You can see for yourself how mass and velocity affect kinetic energy by working through the problems below. Problem Solving Problem: Juan has a mass of 50 kg.,working through the problems below,You can see for yourself how mass and velocity affect kinetic energy,"how can you see how mass and velocity affect kinetic energy ?
","what happens when you work through the problems below ?
"
1864,1864,2387,68,"For an introduction to all these forms of energy, go to this URL:. For an interactive animation about the different forms of energy, visit this URL: After you read below about different forms of energy, you can check your knowledge by doing the drag and drop quiz at this URL:. ",doing the drag and drop quiz at this URL:,": After you read below about different forms of energy, you can check your knowledge","how can you check your knowledge ?
","what happens when you do the drag and drop quiz ?
"
1865,1865,2388,68,http://fi.edu/guide/hughes/energychangeex.html. You can check your understanding of how energy changes form by doing the quizzes at these URLs: Energy is conserved in energy conversions.,doing the quizzes at these URLs,You can check your understanding of how energy changes form,"how can you check your understanding of how energy changes form ?
","what happens when you do the quizzes at these urls ?
"
1866,1866,2389,68, We can reduce our use of energy resources and the pollution they cause by conserving energy. Conservation means saving resources by using them more efficiently or not using them at all.,conserving energy,We can reduce our use of energy resources and the pollution they cause,"how can we reduce our use of energy resources and the pollution they cause ?
","what happens by conserving energy ?
"
1867,1867,2390,68,"The number of waves that pass a fixed point in a given amount of time is wave frequency. Wave frequency can be measured by counting the number of crests or compressions that pass the point in 1 second or other time period. The higher the number is, the greater is the frequency of the wave.",counting the number of crests or compressions that pass the point in 1 second or other time period,Wave frequency can be measured,"how can wave frequency be measured ?
","what happens when the number of waves that pass a fixed point in a given amount of time is counted ?
"
1868,1868,2391,68,"You Try It! Problem: Jera made a wave in a spring by pushing and pulling on one end. The wavelength is 0.1 m, and the wave frequency is 0.2 m/s.",pushing and pulling on one end,Jera made a wave in a spring,"why did jera make a wave in a spring ?
","what happened by pushing and pulling on one end ?
"
1869,1869,2392,68,Figure 19.11 shows these wave measures for both transverse and longitudinal waves. You can also simulate waves with different amplitudes and wavelengths by doing the interactive animation at this URL: http://sci-culture.com/advancedpoll/GCSE/sine%20wave%20simulator.html. ,doing the interactive animation at this URL: http://sci-culture.com/advancedpoll/GCSE/sine%20wave%20simulator.html,You can also simulate waves with different amplitudes and wavelengths,"how can you simulate waves with different amplitudes and wavelengths ?
","what happens with the interactive animation at this url ?
"
1870,1870,2393,68,"Hearing loss caused by loud sounds is permanent. However, this type of hearing loss can be prevented by protecting the ears from loud sounds. ",protecting the ears from loud sounds,"However, this type of hearing loss can be prevented","what can prevent this type of hearing loss ?
","what happens to hearing loss caused by loud sounds ?
"
1871,1871,2394,68,"In this QUEST web extra, Stanford University astrophysicist Todd Hoeksema explains how solar sound waves are a vital ingredient to the science of helioseismology, in which the interior properties of the sun are probed by analyzing and tracking the surface sound waves that bounce into and out of the Sun. For more information on solar sound waves, see http://science.kqed.org/quest/video/web-extra-music-of-the-sun/.",analyzing and tracking the surface sound waves that bounce into and out of the Sun,"Todd Hoeksema explains how solar sound waves are a vital ingredient to the science of helioseismology, in which the interior properties of the sun are probed","why are the interior properties of the sun probed ?
","what happens in the quest web extra ?
"
1872,1872,2395,68,"Despite their diversity, however, musical instruments share certain similarities. All musical instruments create sound by causing matter to vibrate. The vibrations start sound waves moving through the air.",causing matter to vibrate,All musical instruments create sound,"why do all musical instruments create sound ?
","what happens by causing matter to vibrate ?
"
1873,1873,2396,68,"Its speed, like the speed of all electromagnetic waves, is 3.0 108 meters per second. Its frequency can be found by substituting these values into the frequency equation: Frequency = 3.0 108 m",substituting these values into the frequency equation,Its frequency can be found,"how can its frequency be found ?
","what happens by substituting these values into the frequency equation ?
"
1874,1874,2397,68,"AM stands for amplitude modulation. In AM broadcasts, sound signals are encoded by changing the amplitude of radio waves. AM broadcasts use longerwavelength radio waves than FM broadcasts.",changing the amplitude of radio waves,"In AM broadcasts, sound signals are encoded","how are sound signals encoded in am broadcasts ?
","what happens by changing the amplitude of radio waves ?
"
1875,1875,2398,68,"FM stands for frequency modulation. In FM broadcasts, sound signals are encoded by changing the frequency of radio waves. Frequency modulation allows FM waves to encode more information than does amplitude modulation, so FM broadcasts usually sound clearer than AM broadcasts.",changing the frequency of radio waves,"In FM broadcasts, sound signals are encoded","why are sound signals encoded in fm broadcasts ?
","what happens when the frequency of radio waves are changed ?
"
1876,1876,2399,68,"These three colors of light are called primary colors. All other colors of light can be created by combining the primary colors. As you can see in Figure 22.7, when red and green light combine, they form yellow.",combining the primary colors,All other colors of light can be created,"how can all other colors of light be created ?
","what happens when the primary colors are combined ?
"
1877,1877,2400,68,"Many objects have color because they contain pigments. A pigment is a substance that colors materials by reflecting light of certain wavelengths and absorbing light of other wavelengths. A very common pigment is chlorophyll, which is found in plants.",reflecting light of certain wavelengths and absorbing light of other wavelengths,A pigment is a substance that colors materials,"why does a pigment color materials ?
","what happens when a pigment reflects light of certain wavelengths and absorbing light of other wavelengths ?
"
1878,1878,2401,68,"Generally, the magnetic domains point in different directions, so the material is still not magnetic. However, the material can be magnetized by placing it in a magnetic field. When this happens, all the magnetic domains become aligned, and the material becomes a magnet.",placing it in a magnetic field,"However, the material can be magnetized","how can the material be magnetized ?
","what happens when the material is placed in a magnetic field ?
"
1879,1879,2402,68,It also has the same composition throughout. You can learn more about compounds and how they form by watching this video: MEDIA Click image to the left or use the URL below.,watching this video,You can learn more about compounds and how they form,"how can you learn more about compounds ?
","what happens when you watch this video ?
"
1880,1880,2403,68,"Their different physical properties are used to separate them. For example, oil is less dense than water, so a mixture of oil and water can be separated by letting it stand until the oil floats to the top. Other ways of separating mixtures are shown in Figure 3.14 and in the videos below.",letting it stand until the oil floats to the top,a mixture of oil and water can be separated,"how can a mixture of oil and water be separated ?
","why is oil less dense than water ?
"
1881,1881,2404,68,"From his research, Dalton developed a theory of the atom. You can learn more about Dalton and his research by watching the video at this URL: (9:03). MEDIA Click image to the left or use the URL below.",watching the video at this URL,You can learn more about Dalton and his research,"how can you learn more about dalton and his research ?
","what happens if you watch the video at this url ?
"
1882,1882,2405,68,"You can see how Mendeleev organized the elements in Figure 6.2. From left to right across each row, elements are arranged by increasing atomic mass. Mendeleev discovered that if he placed eight elements in each row and then continued on to the next row, the columns of the table would contain elements with similar properties.",increasing atomic mass,"From left to right across each row, elements are arranged","why are elements arranged in figure 6 . 2 ?
","what happens when atomic mass increases ?
"
1883,1883,2406,68,You will read about these three types in later lessons. You can also learn more about them by watching this video: (7:18). MEDIA Click image to the left or use the URL below.,watching this video: (7:18),You can also learn more about them,"how can you learn more about these three types ?
","what happens when you watch this video ?
"
1884,1884,2407,68,"It now has one more electron than protons, giving it a charge of-1. Negative ions are named by adding the suffix ide to the first part of the element name. The symbol for chloride is Cl.",adding the suffix ide to the first part of the element name,Negative ions are named,"why are negative ions named ?
","why is the suffix ide added to the first part of the element name ?
"
1885,1885,2408,68,"As a result, ionic crystals tend to shatter. You can learn more about the properties of ionic compounds by watching the video at this URL: MEDIA Click image to the left or use the URL below.",watching the video at this URL,You can learn more about the properties of ionic compounds,"how can you learn more about ionic compounds ?
","what happens when ionic crystals shatter ?
"
1886,1886,2409,68,An alloy is a solid solution. It is formed by melting a metal and dissolving the other elements in it. The molten solution is then allowed to cool and harden.,melting a metal and dissolving the other elements in it,It is formed,"how is an alloy formed ?
","what happens when an alloy is melted and dissolving other elements in it ?
"
1887,1887,2410,68,"Hydrogen and oxygen are the reactants, and water is the product. To write a chemical equation for this reaction, you would start by writing symbols for the reactants and products: Equation 1: H2+O2!",writing symbols for the reactants and products,"To write a chemical equation for this reaction, you would start","what would you start with to write a chemical equation for this reaction ?
","why would you write symbols for the reactants and products ?
"
1888,1888,2411,68, Exploratorium Staff Scientist Julie Yu changes and manipulates the physical and chemical properties of plastic bottles by exposing them to heat. This is how plastic bags and bottles can be recycled and used over and over again.,exposing them to heat,Exploratorium Staff Scientist Julie Yu changes and manipulates the physical and chemical properties of plastic bottles,"why does julie yu change the physical and chemical properties of plastic bottles ?
","what happens when plastic bottles are exposed to heat ?
"
1889,1889,2412,68,"Because it has four valence electrons, carbon needs four more electrons to fill its outer energy level. It can achieve this by forming four covalent bonds. Covalent bonds are chemical bonds that form between nonmetals.",forming four covalent bonds,It can achieve this,"how can carbon achieve this ?
","why does carbon need four more electrons to fill its outer energy level ?
"
1890,1890,2413,68,"Thats because they have a strong aroma, or scent. Their molecules consist of six carbon atoms in a ring shape, connected by alternating single and double bonds. Aromatic hydrocarbons may have a single ring or multiple rings joined together by bonds between their carbon atoms.",alternating single and double bonds,"Their molecules consist of six carbon atoms in a ring shape, connected","why are the carbon atoms of aromatic hydrocarbons connected ?
","why do aromatic hydrocarbons have a strong aroma or scent ?
"
1891,1891,2414,68,An acid is a compound that produces positive hydrogen ions (H+) and negative nonmetal ions when it dissolves in water. (Ions are atoms that have become charged by losing or gaining electrons.) Hydrochloric acid (HCl) is an example of an acid.,losing or gaining electrons,Ions are atoms that have become charged,"why do ions become charged ?
","what happens when electrons lose or gain in an acid ?
"
1892,1892,2415,68,"The other elements may be metals, nonmetals, or both. An alloy is formed by melting a metal and dissolving the other elements in it. The molten solution is then allowed to cool and harden.",melting a metal and dissolving the other elements in it,An alloy is formed,"how is an alloy formed ?
","what happens when a metal is melted and dissolving the other elements in it ?
"
1893,1893,2416,68,"However, if alpha particles are emitted inside the body, they can do more damage. One way this can happen is by inhaling cigarette smoke. People who smoke actually inhale the radioactive element polonium-210.",inhaling cigarette smoke,One way this can happen is,"what is one way that alpha particles can be emitted inside the body ?
","what happens when alpha particles are emitted inside the body ?
"
1894,1894,2417,68,"Q: Why might you be more likely to float in water if you stretch out your body rather than curl up into a ball? A: You would displace more water by stretching out your body, so there would be more buoyant force acting on it. Therefore, you would be more likely to float in this position.",stretching out your body,You would displace more water,"why would you displace more water ?
","why would you be more likely to float if you stretched out your body ?
"
1895,1895,2418,68," Enzymes are proteins that increase the rate of chemical reactions by reducing the amount of activation energy needed for reactants to start reacting. Enzymes are synthesized in the cells that need them, based on instructions encoded in the cells DNA.",reducing the amount of activation energy needed for reactants to start reacting,Enzymes are proteins that increase the rate of chemical reactions,"why do enzymes increase the rate of chemical reactions ?
","why do enzymes reduce the amount of activation energy for reactants to start reacting ?
"
1896,1896,2419,68,Plants make starches to store extra glucose. Consumers get starches by eating plants. Common sources of starches in the human diet are pictured in the Figure 1.2.,eating plants,Consumers get starches,"how do consumers get starches ?
","what happens by eating plants ?
"
1897,1897,2421,68,These three colors are called the primary colors of light. All other colors of light can be created by combining the primary colors. Look at the Venn diagram 1.5.,combining the primary colors,All other colors of light can be created,"how can all other colors of light be created ?
","what happens when the primary colors are combined ?
"
1898,1898,2422,68,"Many objects have color because they contain pigments. A pigment is a substance that colors materials by reflecting light of certain wavelengths and absorbing light of other wavelengths. A very common pigment is the dark green pigment called chlorophyll, which is found in plants.",reflecting light of certain wavelengths and absorbing light of other wavelengths,A pigment is a substance that colors materials,"why does a pigment color materials ?
","what happens when a pigment reflects light of certain wavelengths and absorbing light of other wavelengths ?
"
1899,1899,2423,68,"It consists of two simple machines: a lever and a wheel and axle. Effort is applied to the lever by picking up the handles of the wheelbarrow. The lever, in turn, applies upward force to the load.",picking up the handles of the wheelbarrow,Effort is applied to the lever,"what causes effort to be applied to the lever ?
","what happens when the handles of the wheelbarrow are picked up ?
"
1900,1900,2424,68,"The force is increased by the lever, making the load easier to lift. Effort is applied to the wheel of the wheelbarrow by pushing it over the ground. The rolling wheel turns the axle and increases the force, making it easier to push the load.",pushing it over the ground,Effort is applied to the wheel of the wheelbarrow,"what causes effort to be applied to the wheel of the wheelbarrow ?
","what happens when the wheel is pushed over the ground ?
"
1901,1901,2425,68,"Nonliving things can also be damaged by radiation. For example, high levels of radiation can weaken metals by removing electrons. This is a problem in nuclear power plants and space vehicles because they are exposed to very high levels of radiation.",removing electrons,"For example, high levels of radiation can weaken metals","why can high levels of radiation weaken metals ?
","why can radiation cause damage to nonliving things ?
"
1902,1902,2426,68,The mean is the average value. It is calculated by adding the individual measurements and dividing the sum by the total number of measurements. The median is the middle value.,adding the individual measurements and dividing the sum by the total number of measurements,It is calculated,"how is the mean calculated ?
","what happens when the mean is added ?
"
1903,1903,2427,68,The range is the total spread of values in a sample. It is calculated by subtracting the smallest value from the largest value. Q: What is the range of heights in the sample of children in the previous question?,subtracting the smallest value from the largest value,It is calculated,"how is the range calculated ?
","what happens by subtracting the smallest value from the largest value ?
"
1904,1904,2428,68,"Generally, the magnetic domains point in different directions, so the material is still not magnetic. However, the material can be magnetized (made into a magnet) by placing it in a magnetic field. When this happens, all the magnetic domains line up, and the material becomes a magnet.",placing it in a magnetic field,"However, the material can be magnetized (made into a magnet)","how can a material be magnetized ?
","what happens when the material is placed in a magnetic field ?
"
1905,1905,2429,68,"Nuclear energy is energy that is stored in the nuclei of atoms because of the strong forces that hold the nucleus together. The energy can be released in nuclear power plants by splitting nuclei apart. It is also released when unstable (radioactive) nuclei break down, or decay.",splitting nuclei apart,The energy can be released in nuclear power plants,"how can the energy be released in nuclear power plants ?
","why is nuclear energy stored in nuclei of atoms ?
"
1906,1906,2431,68,"Hearing loss caused by loud sounds is permanent. However, this type of hearing loss can be prevented by protecting the ears from loud sounds. People who work in jobs that expose them to loud sounds must wear hearing protectors.",protecting the ears from loud sounds,"However, this type of hearing loss can be prevented","what can prevent hearing loss caused by loud sounds ?
","what happens to hearing loss caused by loud sounds ?
"
1907,1907,2432,68,"In fact, it wont stop moving unless another unbalanced force opposes its motion. For example, Lauren can stop the rolling skateboard by moving to the other end and pushing in the opposite direction. Q:",moving to the other end and pushing in the opposite direction,"For example, Lauren can stop the rolling skateboard","how can lauren stop the rolling skateboard ?
","what happens when lauren moves to the other end and pushing in the opposite direction ?
"
1908,1908,2433,68,It now has more electrons than protons and a charge of-1. Negative ions are named by adding the suffix-ide to the first part of the element name. The symbol for chloride is Cl.,adding the suffix-ide to the first part of the element name,Negative ions are named,"how are negative ions named ?
","why is the suffix - ide added to the first part of the element name ?
"
1909,1909,2434,68,"The fixed point of a lever is called the fulcrum. Like other machines, a lever makes work easier by changing the force applied to the machine or the distance over which the force is applied. How does a hammer make it easier to pull a nail out of a board?",changing the force applied to the machine or the distance over which the force is applied,"Like other machines, a lever makes work easier","why does a lever make work easier ?
","what happens when a lever changes the force applied to the machine ?
"
1910,1910,2435,68,"You can see how Mendeleev organized the elements in the Figure 1.2. From left to right across each row, elements are arranged by increasing atomic mass. Mendeleev discovered that if he placed eight elements in each row and then continued on to the next row, the columns of the table would contain elements with similar properties.",increasing atomic mass,"From left to right across each row, elements are arranged","why are elements arranged in the figure 1 . 2 ?
","what happens when atomic mass increases ?
"
1911,1911,2436,68,"Mendeleev arranged and rearranged the cards in many different ways, looking for a pattern. He finally found it when he placed the elements in order by increasing atomic mass. Q: What is atomic mass?",increasing atomic mass,He finally found it when he placed the elements in order,"why did mendeleev place the elements in order ?
","why did mendeleev increase atomic mass ?
"
1912,1912,2437,68,"Boron, pictured in the Figure 1.1, is the only metalloid with just three electrons in its outer energy level. It tends to act like metals by giving up its electrons in chemical reactions. Metalloids with more than four electrons in their outer energy level (arsenic, antimony, and tellurium) tend to act like nonmetals by gaining electrons in chemical reactions.",giving up its electrons in chemical reactions,It tends to act like metals,"why does boron act like metals ?
","what happens to boron when it gives up its electrons ?
"
1913,1913,2438,68,"It tends to act like metals by giving up its electrons in chemical reactions. Metalloids with more than four electrons in their outer energy level (arsenic, antimony, and tellurium) tend to act like nonmetals by gaining electrons in chemical reactions. Those with exactly four electrons in their outer energy level (silicon and germanium) may act like either metals or nonmetals, depending on the other elements in the reaction.",gaining electrons in chemical reactions,"Metalloids with more than four electrons in their outer energy level (arsenic, antimony, and tellurium) tend to act like nonmetals","why do metalloids act like nonmetals ?
","why do metalloids act like nonmetals ?
"
1914,1914,2439,68,You can see how this works in the Figure 1.2. A cell phone encodes the sounds of the callers voice in microwaves by changing the frequency of the waves. This is called frequency modulation.,changing the frequency of the waves,A cell phone encodes the sounds of the callers voice in microwaves,"how does a cell phone encode the sounds of the callers voice in microwaves ?
","what happens by changing the frequency of the waves ?
"
1915,1915,2440,68,"In the 1860s, a scientist named Dmitri Mendeleev also saw the need to organize the elements. He created a table in which he arranged all of the elements by increasing atomic mass from left to right across each row. When he placed eight elements in each row and then started again in the next row, each column of the table contained elements with similar properties.",increasing atomic mass from left to right across each row,He created a table in which he arranged all of the elements,"how did dmitri mendeleev arrange the elements ?
","why did dmitri mendeleev want to organize the elements ?
"
1916,1916,2441,68,"Despite their diversity, however, musical instruments share certain similarities. All musical instruments create sound by causing matter to vibrate. The vibrations start sound waves moving through the air.",causing matter to vibrate,All musical instruments create sound,"why do all musical instruments create sound ?
","what happens by causing matter to vibrate ?
"
1917,1917,2442,68,"Noble gases are also used to fill the glass tubes of lighted signs like the one in the Figure 1.4. Although noble gases are chemically nonreactive, their electrons can be energized by sending an electric current through them. When this happens, the electrons jump to a higher energy level.",sending an electric current through them,"Although noble gases are chemically nonreactive, their electrons can be energized","how can noble gases be energized ?
","why are noble gases used for lighted signs ?
"
1918,1918,2443,68,This is what occurs in a nuclear power plant. The reaction is controlled by inserting rods of nonfissioning material into the fissioning material. You can see this in the Figure 1.4.,inserting rods of nonfissioning material into the fissioning material,The reaction is controlled,"what controls the reaction in a nuclear power plant ?
","what happens when rods of nonfissioning material are inserted into the fissioning material ?
"
1919,1919,2445,68,Ionic compounds are compounds that contain positive metal ions and negative nonmetal ions held together by ionic bonds. (Ions are atoms that have become charged particles by gaining or losing electrons.) An example of an acid is hydrogen chloride (HCl).,gaining or losing electrons,Ions are atoms that have become charged particles,"why do ions become charged particles ?
","why are ions held together by ionic bonds ?
"
1920,1920,2446,68,"Its speed, like the speed of all electromagnetic waves, is 3.0 108 meters per second. Its frequency can be found by substituting these values into the frequency equation: Frequency =",substituting these values into the frequency equation,Its frequency can be found,"how can its frequency be found ?
","what happens by substituting these values into the frequency equation ?
"
1921,1921,2447,68,"AM stands for amplitude modulation. In AM broadcasts, sound signals are encoded by changing the am-plitude, or maximum height, of radio waves. AM broadcasts use longer wavelength radio waves than FM broadcasts.","changing the am-plitude, or maximum height, of radio waves","In AM broadcasts, sound signals are encoded","how are sound signals encoded in am broadcasts ?
","what happens when the am - plitude is changed ?
"
1922,1922,2448,68,"FM stands for frequency modulation. In FM broadcasts, sound signals are encoded by changing the frequency of radio waves. Frequency modulation allows FM waves to encode more information than does amplitude modulation, so FM broadcasts usually produce clearer sounds than AM broadcasts.",changing the frequency of radio waves,"In FM broadcasts, sound signals are encoded","why are sound signals encoded in fm broadcasts ?
","what happens when the frequency of radio waves are changed ?
"
