Text,Question,Answer,Template
"In order to help prevent entrapment , when the system detects that it is running low on power , it will bring the running cars to the lobby or nearest floor , open the doors and shut down .","For what purpose will it bring the running cars to the lobby or nearest floor when the system detects that it is running low on power ?","In order to help prevent entrapment","AmPncQgTemplate"
"In order to help prevent entrapment , when the system detects that it is running low on power , it will bring the running cars to the lobby or nearest floor , open the doors and shut down .","For what purpose do it open the doors when the system detects that it is running low on power ?","In order to help prevent entrapment","AmPncQgTemplate"
"In order to help prevent entrapment , when the system detects that it is running low on power , it will bring the running cars to the lobby or nearest floor , open the doors and shut down .","For what purpose do it shut when the system detects that it is running low on power ?","In order to help prevent entrapment","AmPncQgTemplate"
"In the 2010s , American jurisdictions have experienced a shortage of lethal injection drugs , due to anti - death penalty advocacy and low production volume .","Why have American jurisdictions experienced a shortage of lethal injection drugs in the 2010s ?","due to anti - death penalty advocacy and low production volume","AmCauQgTemplate"
"The antenna array and very similar reflective array antenna consist of multiple elements , often half - wave dipoles , spaced out on a plane and wired together with transmission lines with specific phase lengths to produce a single in - phase signal at the output .","For what purpose did multiple elements , often half - wave dipoles wire together together ?","to produce a single in - phase signal at the output","AmPncQgTemplate"
"Besides the city wall , other famous Ming - era structures in the city included the famous Ming Xiaoling Mausoleum and Porcelain Tower , although the latter was destroyed by the Taipings in the 19th century either in order to prevent a hostile faction from using it to observe and shell the city or from superstitious fear of its geomantic properties .","For what purpose was by the Taipings destroyed the latter in the 19th century ?","either in order to prevent a hostile faction from using it to observe and shell the city or from superstitious fear of its geomantic properties","AmPncQgTemplate"
"But certain key portions of their civil procedure laws have been modified by their legislatures to bring them closer to federal civil procedure .","For what purpose have by their legislatures been modified certain key portions of their civil procedure laws ?","to bring them closer to federal civil procedure","AmPncQgTemplate"
"During the middle Ordovician Period ( about 496 - 440 Ma ) , a change in plate motions set the stage for the first Paleozoic mountain - building event ( Taconic orogeny ) in North America .","For what purpose did a change in plate motions set the stage during the middle Ordovician Period ( about 496 - 440 Ma ) ?","for the first Paleozoic mountain - building event ( Taconic orogeny ) in North America","AmPncQgTemplate"
"Government policy from the 1970s onward has emphasized deregulation to encourage business , which resulted in less oversight of activities and less disclosure of information about new activities undertaken by banks and other evolving financial institutions .","For what purpose has Government policy emphasized deregulation which resulted in less oversight of activities and less disclosure of information about new activities undertaken by banks and other evolving financial institutions from the 1970s onward ?","to encourage business","AmPncQgTemplate"
"However , for the sake of consistency and standardization , the CPC seeks to limit the use of such polysyllabic characters in public writing to ensure that every character only has one syllable .","For what purpose does the CPC seek to limit the use of such polysyllabic characters in public writing to ensure that every character only has one syllable ?","for the sake of consistency and standardization","AmPncQgTemplate"
"However , for the sake of consistency and standardization , the CPC seeks to limit the use of such polysyllabic characters in public writing to ensure that every character only has one syllable .","For what purpose does the CPC limit the use of such polysyllabic characters in public writing ?","to ensure that every character only has one syllable","AmPncQgTemplate"
"Thus , the stage was set for the adoption of an approach to natural philosophy , based on empirical observations and experimentation of the physical universe , making possible the advent of the age of scientific inquiry that followed the Renaissance .","For what purpose was the stage set ?","for the adoption of an approach to natural philosophy , based on empirical observations and experimentation of the physical universe , making possible the advent of the age of scientific inquiry that followed the Renaissance","AmPncQgTemplate"
""" On December 16 , 2010 , some months after the CRTC issued a bulletin reminding broadcasters that analog transmitters had to be shut off by the deadline in mandatory markets , the CBC revised the documents accompanying its August 6 , 2010 news release to state that it had the money for and is striving to transition all 27 transmitters by August 31 , 2011 .","For what purpose did the CBC revise the documents accompanying its August 6 , 2010 news release on December 16 , 2010 on December 16 , 2010 ?","to state that it had the money for and is striving to transition all 27 transmitters by August 31 , 2011","AmPncQgTemplate"
"Because there is no income tax , the island 's legislative assembly raises money through an import duty , fuel levy , medicare levy , GST of 12 % and local / international phone calls .","Why is the island 's legislative assembly raises money through an import duty , fuel levy , medicare levy , GST of 12 % and local / international phone calls ?","Because there is no income tax","AmCauQgTemplate"
"To placate his prominent commanders from the war with Chu , Emperor Gaozu enfeoffed some of them as kings .","For what purpose did Emperor Gaozu enfeoff some of them as kings ?","To placate his prominent commanders from the war with Chu","AmPncQgTemplate"
"Every owner would start with a Baby Digimon , train it , evolve it , take care of it , and then have battles with other Digimon owners to see who was stronger .","For what purpose do Every owner have battles with other Digimon owners then ?","to see who was stronger","AmPncQgTemplate"
"On 29 June 2009 , the United States Supreme Court ruled in favor of the firefighters , agreeing that they were improperly denied promotion because of their race .","Why were promotion denied they improperly ?","because of their race","AmCauQgTemplate"
"Lebanon was the only Arab country to see a temporary increase in its Jewish population during this period , due to an influx of refugees from other Arab countries , although by the mid-1970s the Jewish community of Lebanon had also dwindled .","Why do the only Arab country see a temporary increase in its Jewish population during this period ?","due to an influx of refugees from other Arab countries","AmCauQgTemplate"
"The First Samnite War from 343 BC to 341 BC was relatively short : the Romans beat the Samnites in two battles , but were forced to withdraw before they could pursue the conflict further due to the revolt of several of their Latin allies in the Latin War .","Why could they pursue the conflict further ?","due to the revolt of several of their Latin allies in the Latin War","AmCauQgTemplate"
"To be free from suffering and stress , these defilements must be permanently uprooted through internal investigation , analyzing , experiencing , and understanding of the true nature of those defilements by using jh?na , a technique of the Noble Eightfold Path .","For what purpose must these defilements be uprooted permanently permanently permanently ?","To be free from suffering and stress","AmPncQgTemplate"
"Switzerland is notable for the variety of grapes grown because of the large variations in terroirs , with their specific mixes of soil , air , altitude and light .","Why is Switzerland notable ?","for the variety of grapes grown","AmCauQgTemplate"
"Switzerland is notable for the variety of grapes grown because of the large variations in terroirs , with their specific mixes of soil , air , altitude and light .","Why is Switzerland notable ?","for the variety of grapes grown","AmCauQgTemplate"
"However , the federal government rejected the version of a commonwealth that the government of Guam proposed , due to it having clauses incompatible with the Territorial Clause ( Art .","Why did the federal government reject the version of a commonwealth that the government of Guam proposed , ?","due to it having clauses incompatible with the Territorial Clause ( Art","AmCauQgTemplate"
"However , the federal government rejected the version of a commonwealth that the government of Guam proposed , due to it having clauses incompatible with the Territorial Clause ( Art .","Why did the government of Guam propose a commonwealth ?","due to it having clauses incompatible with the Territorial Clause ( Art","AmCauQgTemplate"
"The working memory model explains many practical observations , such as why it is easier to do two different tasks ( one verbal and one visual ) than two similar tasks ( e.","Why is to do two different tasks ( one verbal and one visual ) easier ?","why","AmCauQgTemplate"
"For particularly severe conduct , the game official(s ) may eject players ( ejected players may be substituted for ) , or in exceptional cases , declare the game over and award victory to one side or the other .","For what purpose may the game official(s ) eject players ?","For particularly severe conduct","AmPncQgTemplate"
"For particularly severe conduct , the game official(s ) may eject players ( ejected players may be substituted for ) , or in exceptional cases , declare the game over and award victory to one side or the other .","For what purpose do the game official(s ) declare the game in exceptional cases ?","For particularly severe conduct","AmPncQgTemplate"
"In 1578 king Stefan Batory created the Crown Tribunal in order to reduce the enormous pressure on the Royal Court .","For what purpose did king Stefan Batory create the Crown Tribunal in 1578 ?","in order to reduce the enormous pressure on the Royal Court","AmPncQgTemplate"
"Compression efficiency of encoders is typically defined by the bit rate , because compression ratio depends on the bit depth and sampling rate of the input signal .","Why is by the bit rate defined Compression efficiency of encoders typically ?","because compression ratio depends on the bit depth and sampling rate of the input signal","AmCauQgTemplate"
"Two of Dial Square 's founding members , Fred Beardsley and Morris Bates , were former Forest players who had moved to Woolwich for work .","For what purpose had former Forest players moved to Woolwich ?","for work","AmPncQgTemplate"
"The ship is equipped with two Phalanx CIWS and two SeaRAM for its defense .","For what purpose is The ship equipped with two Phalanx CIWS and two SeaRAM ?","for its defense","AmPncQgTemplate"
"Unlike the heavier guns , these smaller weapons are in widespread use due to their low cost and ability to quickly follow the target .","Why do these smaller weapons be in widespread use unlike the heavier guns ?","due to their low cost and ability to quickly follow the target","AmCauQgTemplate"
"Since the 1960s , the permanent Tibetan Buddhist population of Kathmandu has risen significantly so that there are now over fifty Tibetan Buddhist monasteries in the area .","For what purpose has the permanent Tibetan Buddhist population of Kathmandu are risen monasteries in the area significantly since the 1960s ?","so that there are now over fifty Tibetan Buddhist","AmPncQgTemplate"
"Forming Team Fusion Fighters ( Team Xros Heart in Japan ) , Mikey , Shoutmon and their friends travel through the Digital World to liberate it from the evil Bagra Army , led by Bagramon(Lord Bagra in English ) , and Midnight , a shady group led by AxeKnightmon with Nene as a figurehead before joining the Fusion Fighters .","For what purpose do Mikey , Shoutmon and their friends travel through the Digital World ?","to liberate it from the evil Bagra Army , led by Bagramon(Lord Bagra in English ) , and Midnight , a shady group led by AxeKnightmon with Nene as a figurehead before joining the Fusion Fighters","AmPncQgTemplate"
"Although blood - letting is no longer in favor with doctors , some leech species are regarded as endangered species because they have been over - harvested for this purpose in the last few centuries .","Why is some leech species are regarded as endangered species although blood - letting is no longer in favor with doctors ?","because they have been over - harvested for this purpose in the last few centuries","AmCauQgTemplate"
"Although blood - letting is no longer in favor with doctors , some leech species are regarded as endangered species because they have been over - harvested for this purpose in the last few centuries .","For what purpose have they been harvested in the last few centuries ?","for this purpose","AmPncQgTemplate"
"The formality of their stance seems to be related with the Egyptian precedent , but it was accepted for a good reason .","Why was it accepted ?","for a good reason","AmCauQgTemplate"
"The company stated that this would give IBM a competitive advantage because IBM would then be able to hire talented people its competitors would turn down .","Why would this give a competitive advantage IBM ?","because IBM would then be able to hire talented people its competitors would turn down","AmCauQgTemplate"
"On 4 September 2014 , the bank went further by announcing it would buy bonds and other debt instruments primarily from banks in a bid to boost the availability of credit for businesses .","For what purpose would it buy bonds and other debt instruments from banks primarily ?","in a bid to boost the availability of credit for businesses","AmPncQgTemplate"
"In Jamestown a timed run takes place up Jacob 's Ladder every year , with people coming from all over the world to take part .","For what purpose do people come from all over the world ?","to take part","AmPncQgTemplate"
"It was , by 1961 , the third largest producer of petroleum due to new discoveries in the Volga - Urals region and Siberia , trailing only the United States and Saudi Arabia .","Why was It was the third largest producer of petroleum trailing only the United States and Saudi Arabia by 1961 ?","due to new discoveries in the Volga - Urals region and Siberia","AmCauQgTemplate"
"Herophilos ( 335 - 280 BC ) was the first to base his conclusions on dissection of the human body , animal vivisection and to provide accurate descriptions of the nervous system , liver and other key organs .","For what purpose do the first base his conclusions on dissection of the human body , animal vivisection ?","to provide accurate descriptions of the nervous system , liver and other key organs","AmPncQgTemplate"
"At the transition deadline , Barrie , Ontario lost both CBC and Radio - Canada signals as the CBC did not request that the CRTC allow these transmitters to continue operating .","Why did Barrie , Ontario lose both CBC and Radio - Canada signals at the transition deadline ?","as the CBC did not request that the CRTC allow these transmitters to continue operating","AmCauQgTemplate"
"Mennonites in the country stand out because of their light skin , hair , and eyes .","Why do Mennonites in the country stand ?","because of their light skin , hair , and eyes","AmCauQgTemplate"
"In 2012 , a new bone marrow donor program was launched by the University of Nigeria to help people with leukaemia , lymphoma , or sickle cell disease to find a compatible donor for a life - saving bone marrow transplant , which cures them of their conditions .","For what purpose was by the University of Nigeria launched a new bone marrow donor program in 2012 ?","to help people with leukaemia , lymphoma , or sickle cell disease to find a compatible donor for a life - saving bone marrow transplant , which cures them of their conditions","AmPncQgTemplate"
"A team of journalists are headquartered at Plymouth for the ITV West Country regional station , after a merger with ITV West forced ITV Westcountry to close on 16 February 2009 .","For what purpose are A team of journalists headquartered at Plymouth after a merger with ITV West forced ITV Westcountry to close on 16 February 2009 ?","for the ITV West Country regional station","AmPncQgTemplate"
"Some Muslims oppose this charge , and instead declare that the media in these countries presses on women to reveal too much in order to be deemed attractive , and that this is itself sexist and oppressive .","For what purpose does the media in these countries reveal too much ?","in order to be deemed attractive","AmPncQgTemplate"
"A Royal Ordnance Factory , ROF Bridgwater was built at the start of the Second World War , between the villages of Puriton and Woolavington , to manufacture explosives .","For what purpose was A Royal Ordnance Factory , ROF Bridgwater built at the start of the Second World War , between the villages of Puriton and Woolavington ?","to manufacture explosives","AmPncQgTemplate"
"These arc lamps ran on relatively low voltages and incorporated tungsten filaments to start ionization within the envelope .","For what purpose do These arc lamps incorporate tungsten filaments ?","to start ionization within the envelope","AmPncQgTemplate"
"This act would provide for referendums to be held in Puerto Rico to determine the island 's ultimate political status .","For what purpose be referendums held in Puerto Rico ?","to determine the island 's ultimate political status","AmPncQgTemplate"
"The first boardwalk was built in 1870 along a portion of the beach in an effort to help hotel owners keep sand out of their lobbies .","For what purpose was The first boardwalk built along a portion of the beach in 1870 ?","in an effort to help hotel owners keep sand out of their lobbies","AmPncQgTemplate"
""" James further claims that "" we feel sad because we cry , angry because we strike , afraid because we tremble , and neither we cry , strike , nor tremble because we are sorry , angry , or fearful , as the case may be .","Why does we feel sad ?","because we cry , angry because we strike , afraid because we tremble , and","AmCauQgTemplate"
""" James further claims that "" we feel sad because we cry , angry because we strike , afraid because we tremble , and neither we cry , strike , nor tremble because we are sorry , angry , or fearful , as the case may be .","Why do we cry ?","because we","AmCauQgTemplate"
""" James further claims that "" we feel sad because we cry , angry because we strike , afraid because we tremble , and neither we cry , strike , nor tremble because we are sorry , angry , or fearful , as the case may be .","Why do we strike ?","because we are sorry , angry , or fearful , as the case may be","AmCauQgTemplate"
"Still others believe that the term black is inaccurate because African Americans have a variety of skin tones .","Why is the term black inaccurate ?","because African Americans have a variety of skin tones","AmCauQgTemplate"
"The Hoog was later dropped , and thus , Duits narrowed down in meaning to refer to the German language .","For what purpose did Duits narrow in meaning ?","to refer to the German language","AmPncQgTemplate"
"The city lies just south of the geographical midpoint of South Carolina 's coastline and is located on Charleston Harbor , an inlet of the Atlantic Ocean formed by the confluence of the Ashley and Cooper Rivers , or , as is locally expressed , "" where the Cooper and Ashley Rivers come together to form the Atlantic Ocean .","For what purpose did the Cooper and Ashley Rivers come together where ?","to form the Atlantic Ocean","AmPncQgTemplate"
"He also dismissed Sarraj in September to curb the growing political crisis .","For what purpose did He dismiss Sarraj in September ?","to curb the growing political crisis","AmPncQgTemplate"
"Thales ' student Pythagoras of Samos founded the Pythagorean school , which investigated mathematics for its own sake , and was the first to postulate that the Earth is spherical in shape .","For what purpose did the Pythagorean school investigate mathematics ?","for its own sake","AmPncQgTemplate"
"In reaction to the emergence of Reform Judaism , a group of traditionalist German Jews emerged in support of some of the values of the Haskalah , but also wanted to defend the classic , traditional interpretation of Jewish law and tradition .","For what purpose did a group of traditionalist German Jews emerge in reaction to the emergence of Reform Judaism ?","in support of some of the values of the Haskalah","AmPncQgTemplate"
"In reaction to the emergence of Reform Judaism , a group of traditionalist German Jews emerged in support of some of the values of the Haskalah , but also wanted to defend the classic , traditional interpretation of Jewish law and tradition .","For what purpose did a group of traditionalist German Jews want to defend the classic , traditional interpretation of Jewish law and tradition ?","In reaction to the emergence of Reform Judaism","AmPncQgTemplate"
"Eight - inch discs with a 2-inch - diameter ( 51 mm ) label became popular for about a decade in Britain , but they can not be played in full on most modern record players because the tone arm can not play far enough in toward the center without modification of the equipment .","Why can they be not played on most modern record players in full ?","because the tone arm can not play far enough in toward the center without modification of the equipment","AmCauQgTemplate"
": 393 Pollock has further argued that , while Sanskrit continued to be used in literary cultures in India , it was never adapted to express the changing forms of subjectivity and sociality as embodied and conceptualised in the modern age .","For what purpose was it never adapted while Sanskrit continued to be used in literary cultures in India ?","to express the changing forms of subjectivity and sociality as embodied and conceptualised in the modern age","AmPncQgTemplate"
"The Midtown Raleigh Alliance was founded on July 25 , 2011 as a way for community leaders to promote the area .","For what purpose was The Midtown Raleigh Alliance founded on July 25 , 2011 ?","as a way for community leaders to promote the area","AmPncQgTemplate"
"The body requires amino acids to produce new proteins ( protein retention ) and to replace damaged proteins ( maintenance ) .","For what purpose does The body require amino acids ?","to produce new proteins ( protein retention ) and to replace damaged proteins ( maintenance )","AmPncQgTemplate"
"After the second half of the 17th century and during the 18th century , a "" general process of rationalization and secularization set in , "" and confessional disputes were reduced to a secondary status in favor of the "" escalating contest between faith and incredulity "" .","For what purpose were confessional disputes reduced to a secondary status after the second half of the 17th century and during the 18th century ?","in favor of the "" escalating contest between faith and incredulity ""","AmPncQgTemplate"
"In 1989 , Prince Andrew launched the replacement RMS St Helena to serve the island ; the vessel was specially built for the Cardiff - Cape Town route and features a mixed cargo / passenger layout .","For what purpose did Prince Andrew launch the replacement RMS St Helena in 1989 ?","to serve the island","AmPncQgTemplate"
"Because of its neutrality , Yugoslavia would often be rare among Communist countries to have diplomatic relations with right - wing , anti - Communist governments .","Why be Yugoslavia be rare among Communist countries to have diplomatic relations with right - wing , anti - Communist governments often ?","Because of its neutrality","AmCauQgTemplate"
"In February 1984 , according to the film director Sir Richard Attenborough , Madonna auditioned at the Royale Theatre on Broadway for a dance role in his movie version of A Chorus Line using her birth - name of Ciccone , but he rejected her .","For what purpose did Madonna audition according at the Royale Theatre on Broadway in February 1984 ?","for a dance role in his movie version of A Chorus Line using her birth - name of Ciccone","AmPncQgTemplate"
"And within Serbo - Croatian , the Serbian variant , with twice as many speakers as the Croatian , enjoyed greater prestige , reinforced by the fact that Slovene and Macedonian speakers preferred it to the Croatian variant because their languages are also Ekavian .","Why did Slovene and Macedonian speakers prefer it to the Croatian variant ?","because their languages are also Ekavian","AmCauQgTemplate"
"For the official coronation , he raised the Charlemagne crown over his own head in a symbolic gesture , but never placed it on top because he was already wearing the golden wreath .","For what purpose did he never place it on top because he was already wearing the golden wreath ?","For the official coronation","AmPncQgTemplate"
"For the official coronation , he raised the Charlemagne crown over his own head in a symbolic gesture , but never placed it on top because he was already wearing the golden wreath .","Why did he never place it on top for the official coronation ?","because he was already wearing the golden wreath","AmCauQgTemplate"
"The girls auditioned before record labels and were finally signed to Elektra Records , moving to Atlanta Records briefly to work on their first recording , only to be cut by the company .","For what purpose did The girls move to Atlanta Records only to be cut by the company briefly ?","to work on their first recording","AmPncQgTemplate"
"In the campus , the youth assembled to play and exercise , which included jumping , wrestling , boxing and racing .","For what purpose did the youth assemble in the campus ?","to play and exercise","AmPncQgTemplate"
"In consequence to the Reform War , the federal government was bankrupt and could not pay its foreign debts to Spain , England , and France .","Why was the federal government was bankrupt ?","In consequence to the Reform War","AmCauQgTemplate"
"In Why F A Hayek is a Conservative , British policy analyst Madsen Pirie claims Hayek mistakes the nature of the conservative outlook .","Why does F A Hayek be a Conservative ?","Why","AmCauQgTemplate"
"He left the Prussian First and Second Armies besieging Metz , except three corps detached to form the Army of the Meuse under the Crown Prince of Saxony .","For what purpose did three corps detach ?","to form the Army of the Meuse under the Crown Prince of Saxony","AmPncQgTemplate"
"The family was successful in their appeal because , under the relevant immigration legislation , there were "" exceptional circumstances of a humanitarian nature "" that justified the grant of resident permits as the family was integrated into New Zealand society with a sizeable extended family which had effectively relocated to New Zealand .","Why was The family was successful in their appeal ?","because , under the relevant immigration legislation , there were "" exceptional circumstances of a humanitarian nature "" that justified the grant of resident permits as the family was integrated into New Zealand society with a sizeable extended family which had effectively relocated to New Zealand","AmCauQgTemplate"
"The aircraft carrier dramatically changed naval combat in World War II , because air power was becoming a significant factor in warfare .","Why did The aircraft carrier change naval combat in World War II dramatically ?","because air power was becoming a significant factor in warfare","AmCauQgTemplate"
"After the victory of the Bourbons at the Battle of Almansa on 25 April 1707 , the English army evacuated Valencia and Philip V ordered the repeal of the privileges of Valencia as punishment for the kingdom 's support of Charles of Austria .","Why did Philip V order the repeal of the privileges of Valencia after the victory of the Bourbons at the Battle of Almansa on 25 April 1707 ?","as punishment for the kingdom 's support of Charles of Austria","AmCauQgTemplate"
"However , the HVC-101 Famicom is compatible with most NES controllers due to having the same controller port .","Why is the HVC-101 Famicom compatible with most NES controllers ?","due to having the same controller port","AmCauQgTemplate"
"Under Kaplan and Winther 's view , racial groupings are objective social constructions ( see Mills 1998 ) that have conventional biological reality only insofar as the categories are chosen and constructed for pragmatic scientific reasons .","Why are the categories chosen ?","for pragmatic scientific reasons","AmCauQgTemplate"
"Under Kaplan and Winther 's view , racial groupings are objective social constructions ( see Mills 1998 ) that have conventional biological reality only insofar as the categories are chosen and constructed for pragmatic scientific reasons .","For what purpose did the categories construct ?","for pragmatic scientific reasons","AmPncQgTemplate"
"Nasser then left for Moscow to meet with Nikita Khrushchev .","For what purpose did Nasser leave for Moscow then ?","to meet with Nikita Khrushchev","AmPncQgTemplate"
"Disappointed , he enrolled in the law school at King Fuad University , but quit after one semester to reapply to the Military Academy .","For what purpose did he quit after one semester ?","to reapply to the Military Academy","AmPncQgTemplate"
"The mission of Cyril and Methodius served both evangelical and diplomatic purposes , spreading Byzantine cultural influence in support of imperial foreign policy .","For what purpose did The mission of Cyril and Methodius spread Byzantine cultural influence ?","in support of imperial foreign policy","AmPncQgTemplate"
"Due to the US Department of Agriculture 's highly successful Boll Weevil Eradication Program ( BWEP ) , this pest has been eliminated from cotton in most of the United States .","Why has this pest been eliminated from cotton in most of the United States ?","Due to the US Department of Agriculture 's highly successful Boll Weevil Eradication Program ( BWEP )","AmCauQgTemplate"
"These aircraft are largely defined in terms of their range capability as strategic airlift ( C-5 ) , strategic / tactical ( C-17 ) , and tactical ( C-130 ) airlift to reflect the needs of the land forces they most often support .","For what purpose are These aircraft defined largely largely ?","to reflect the needs of the land forces they most often support","AmPncQgTemplate"
"A number of the broadsheets in circulation subsequently closed down operations , as they were no longer able to cover printing costs in the face of the electronic revolution .","Why did A number of the broadsheets in circulation close operations subsequently ?","as they were no longer able to cover printing costs in the face of the electronic revolution","AmCauQgTemplate"
"These red LEDs were bright enough only for use as indicators , as the light output was not enough to illuminate an area .","Why were These red LEDs were bright enough only for use as indicators ?","as the light output was not enough to illuminate an area","AmCauQgTemplate"
"It is now known to be the hormone that stimulates or regulates fruit ripening and abscission , and it , or the synthetic growth regulator ethephon which is rapidly metabolised to produce ethylene , are used on industrial scale to promote ripening of cotton , pineapples and other climacteric crops .","For what purpose is the synthetic growth regulator ethephon metabolised rapidly ?","to produce ethylene","AmPncQgTemplate"
"Throughout late 1867 , his health faltered mainly through exhaustion .","Why did his health falter throughout late 1867 ?","mainly through exhaustion","AmCauQgTemplate"
"Roger Boesche describes the Artha??stra as "" a book of political realism , a book analysing how the political world does work and not very often stating how it ought to work , a book that frequently discloses to a king what calculating and sometimes brutal measures he must carry out to preserve the state and the common good .","For what purpose must he carry what calculating and sometimes brutal measures ?","to preserve the state and the common good","AmPncQgTemplate"
"There is , therefore , an incentive for asset managers to expand their assets under management in order to maximize their compensation .","For what purpose do asset managers expand their assets under management ?","in order to maximize their compensation","AmPncQgTemplate"
"Macrophages , T lymphocytes , B lymphocytes , and fibroblasts aggregate to form granulomas , with lymphocytes surrounding the infected macrophages .","For what purpose do Macrophages , T lymphocytes , B lymphocytes , and fibroblasts aggregate with lymphocytes surrounding the infected macrophages ?","to form granulomas","AmPncQgTemplate"
"In doing so , the AFL became the second sports league to cancel an entire season , after the National Hockey League cancelled the 2004 - 05 season because of a lockout .","Why did the National Hockey League cancel the 2004 - 05 season ?","because of a lockout","AmCauQgTemplate"
"Beginning in 1900 , Max Planck , Albert Einstein , Niels Bohr and others developed quantum theories to explain various anomalous experimental results , by introducing discrete energy levels .","For what purpose did Max Planck , Albert Einstein , Niels Bohr and others develop quantum theories by introducing discrete energy levels beginning in 1900 ?","to explain various anomalous experimental results","AmPncQgTemplate"
"Described as being "" sexy , seductive and provocative "" when performing on stage , Beyonce has said that she originally created the alter ego "" Sasha Fierce "" to keep that stage persona separate from who she really is .","For what purpose did she create the alter ego "" Sasha Fierce "" originally ?","to keep that stage persona separate from who she really is","AmPncQgTemplate"
"The park was officially opened in 1891 by Sir Alexander Bannerman , Governor of the Colony of Newfoundland who donated the land to create the park .","For what purpose did Sir Alexander Bannerman , Governor of the Colony of Newfoundland donate the land ?","to create the park","AmPncQgTemplate"
"The proposals were dubbed "" The Volcker Rule "" , in recognition of Paul Volcker , who has publicly argued for the proposed changes .","Why were The proposals dubbed "" The Volcker Rule "" ?","in recognition of Paul Volcker , who has publicly argued for the proposed changes","AmCauQgTemplate"
""" He was torn between the words "" positive action "" and "" affirmative action , "" and selected the later due to its alliterative quality .","Why did He select the later ?","due to its alliterative quality","AmCauQgTemplate"
"Surgery or facilities for complex childbirth are therefore limited , and emergencies can necessitate communicating with passing fishing vessels so the injured person can be ferried to Cape Town .","For what purpose do emergencies communicate with passing fishing vessels ?","so the injured person can be ferried to Cape Town","AmPncQgTemplate"
"There he convinced the Sultan to reject the Russian treaty proposal , as compromising the independence of the Turks .","Why did he convince the Sultan to reject the Russian treaty proposal there ?","as compromising the independence of the Turks","AmCauQgTemplate"
"Conflict continued in Ireland between the Anglo - Norman settlers and the indigenous Irish chieftains , with John manipulating both groups to expand his wealth and power in the country .","For what purpose do John manipulate both groups ?","to expand his wealth and power in the country","AmPncQgTemplate"
"John Dewey ( 1859 - 1952 ) modified James ' pragmatism to form a theory known as instrumentalism .","For what purpose did John Dewey ( 1859 - 1952 ) modify James ' pragmatism ?","to form a theory known as instrumentalism","AmPncQgTemplate"
"On 29 March , Nasser announced the decrees ' revocation in response to the "" impulse of the street .","Why did Nasser announce the decrees ' revocation on 29 March ?","in response to the "" impulse of the street","AmCauQgTemplate"
"Alexander Scriabin was devoted to the music of Chopin , and his early published works include nineteen mazurkas , as well as numerous etudes and preludes ; his teacher Nikolai Zverev drilled him in Chopin 's works to improve his virtuosity as a performer .","For what purpose did his teacher Nikolai Zverev drill him in Chopin 's works ?","to improve his virtuosity as a performer","AmPncQgTemplate"
"The architect , James Gamble Rogers , faux - aged these buildings by splashing the walls with acid , deliberately breaking their leaded glass windows and repairing them in the style of the Middle Ages , and creating niches for decorative statuary but leaving them empty to simulate loss or theft over the ages .","For what purpose do The architect , James Gamble Rogers , leave them empty deliberately ?","to simulate loss or theft over the ages","AmPncQgTemplate"
"For statistical purposes , the country is divided into three metropolitan areas : Tel Aviv metropolitan area ( population 3,206,400 ) , Haifa metropolitan area ( population 1,021,000 ) , and Beer Sheva metropolitan area ( population 559,700 ) .","For what purpose is the country divided into three metropolitan areas : Tel Aviv metropolitan area ( population 3,206,400 ) , Haifa metropolitan area ( population 1,021,000 ) , and Beer Sheva metropolitan area ( population 559,700 ) ?","For statistical purposes","AmPncQgTemplate"
"And if we lost on the motion to recommit , our Republican members had a choice : They could vote against the Johnson program and say we did our best to come up with a better alternative .","For what purpose do we do our best ?","to come up with a better alternative","AmPncQgTemplate"
"Due to the inter - communal ethnic tensions between 1963 and 1974 , an island - wide census was regarded as impossible .","Why was an island - wide census regarded as impossible ?","Due to the inter - communal ethnic tensions between 1963 and 1974","AmCauQgTemplate"
"Since there were two outs , a forceout was called at second base , ending the inning and the game .","Why were a forceout was called ending the inning and the game at second base ?","Since there were two outs","AmCauQgTemplate"
"The concept has been revived by the University of Western Ontario to teach anatomy to medical students .","For what purpose has by the University of Western Ontario been revived The concept ?","to teach anatomy to medical students","AmPncQgTemplate"
"By the end of his presidency , employment and working conditions improved considerably , although poverty was still high in the country and substantial resources allocated for social welfare had been diverted to the war effort .","For what purpose did substantial resources allocate ?","for social welfare","AmPncQgTemplate"
""" Taraborrelli felt that in time , no doubt because of the devastation she felt , Madonna would never again allow herself , or even her daughter , to feel as abandoned as she had felt when her mother died .","Why would Madonna never again allow herself , or even her daughter , to feel as abandoned as she had felt when her mother died no doubt in time ?","because of the devastation she felt","AmCauQgTemplate"
"Hanover was a small village of ferrymen and fishermen that became a comparatively large town in the 13th century due to its position at a natural crossroads .","Why became a small village of ferrymen and fishermen became a comparatively large town in the 13th century ?","due to its position at a natural crossroads","AmCauQgTemplate"
"5 % of the total city area:79—has led to widespread traffic congestion especially since 80 % of passengers and 60 % of freight are transported by road .","Why does 5 % of the total city lead to widespread traffic congestion ?","especially since 80 % of passengers and 60 % of freight are transported by road","AmCauQgTemplate"
"The question of whether this is permitted is really a question of how other states will react to the withdrawal ; for instance , another state might impose sanctions or go to war over a treaty violation .","Why do another state go to war ?","over a treaty violation","AmCauQgTemplate"
